Date,Close,Open,High,Low,Volumn
2013-05-23,256.66,258.96,259.78,256.66,"80,113"
2013-05-24,257.32,258.13,258.28,255.73,"63,869"
2013-05-27,258.19,257.41,258.82,256.99,"51,964"
2013-05-28,258.59,258.63,259.53,257.97,"65,646"
2013-05-29,260.92,259.64,262.16,259.58,"99,142"
2013-05-30,261.21,260.7,262.1,260.41,"100,363"
2013-05-31,261.47,262.46,263.34,261.41,"98,228"
2013-06-03,260.29,260.48,262.03,260.13,"79,708"
2013-06-04,260.54,261.45,261.69,259.15,"77,535"
2013-06-05,256.51,260.57,260.7,256.51,"92,667"
2013-06-07,251.2,255.51,255.7,251.14,"80,458"
2013-06-10,252.2,251.49,252.48,251.02,"62,724"
2013-06-11,250.19,252.29,252.39,248.72,"79,081"
2013-06-12,248.5,249.16,250.32,248.04,"60,166"
2013-06-13,244.49,247.76,248.72,244.38,"94,949"
2013-06-14,245.36,246.21,246.42,244.22,"81,820"
2013-06-17,244.77,245.43,246.59,244.18,"69,775"
2013-06-18,247.13,245.44,247.13,243.45,"80,877"
2013-06-19,245.44,246.94,246.96,244.77,"83,448"
2013-06-20,240.26,242.08,243.28,239.45,"88,984"
2013-06-21,236.57,234.23,236.9,234.15,"102,436"
2013-06-24,233.47,236.33,236.33,233.47,"63,140"
2013-06-25,231.75,232.25,235.04,230.38,"88,860"
2013-06-26,231.52,234.26,234.26,230.18,"78,195"
2013-06-27,238.65,235.19,239.37,235.11,"72,358"
2013-06-28,242.27,240.01,242.68,240,"78,921"
2013-07-01,241.05,240.58,242.69,240.28,"55,145"
2013-07-02,240.8,241.76,242.61,240.24,"88,066"
2013-07-03,236.63,240.69,241.68,236.28,"78,750"
2013-07-04,238.56,237.36,238.78,236.64,"76,999"
